  [n=10] 已测 2000  3s
  [n=10] 已测 4000  6s
  [n=10] 已测 6000  9s
  [n=10] 已测 8000  11s
  [n=10] 已测 10000  14s
  [n=10] 已测 12000  16s
  [n=10] 已测 14000  17s
  [n=10] 已测 16000  18s
  [n=10] 已测 18000  19s
  [n=10] 已测 20000  21s
  [n=10] 已测 22000  22s
  [n=10] 已测 24000  24s
  [n=10] 已测 26000  25s
  [n=10] 已测 28000  26s
  [n=10] 已测 30000  28s
  [n=10] 已测 32000  29s
  [n=10] 已测 34000  30s
  [n=10] 已测 36000  32s
  [n=10] 已测 38000  33s
  [n=10] 已测 40000  34s
  [n=10] 已测 42000  36s
  [n=10] 已测 44000  37s
  [n=10] 已测 46000  38s
  [n=10] 已测 48000  40s
  [n=10] 已测 50000  41s
  [n=10] 已测 52000  43s
  [n=10] 已测 54000  44s
  [n=10] 已测 56000  46s
  [n=10] 已测 58000  47s
  [n=10] 已测 60000  48s
  [n=10] 已测 62000  50s
  [n=10] 已测 64000  51s
  [n=10] 已测 66000  53s
  [n=10] 已测 68000  54s
  [n=10] 已测 70000  55s
  [n=10] 已测 72000  56s
  [n=10] 已测 74000  58s
  [n=10] 已测 76000  59s
  [n=10] 已测 78000  60s
  [n=10] 已测 80000  61s
  [n=10] 已测 82000  63s
  [n=10] 已测 84000  64s
  [n=10] 已测 86000  66s
  [n=10] 已测 88000  67s
  [n=10] 已测 90000  68s
  [n=10] 已测 92000  70s
  [n=10] 已测 94000  71s
  [n=10] 已测 96000  72s
  [n=10] 已测 98000  73s
  [n=10] 已测 100000  75s
  [n=10] 已测 102000  76s
  [n=10] 已测 104000  77s
  [n=10] 已测 106000  78s
  [n=10] 已测 108000  79s
  [n=10] 已测 110000  80s
  [n=10] 已测 112000  82s
  [n=10] 已测 114000  83s
  [n=10] 已测 116000  84s
  [n=10] 已测 118000  86s
  [n=10] 已测 120000  87s
  [n=10] 已测 122000  88s
  [n=10] 已测 124000  89s
  [n=10] 已测 126000  90s
  [n=10] 已测 128000  92s
  [n=10] 已测 130000  93s
  [n=10] 已测 132000  94s
  [n=10] 已测 134000  95s
  [n=10] 已测 136000  96s
  [n=10] 已测 138000  97s
  [n=10] 已测 140000  98s
  [n=10] 已测 142000  99s
  [n=10] 已测 144000  101s
  [n=10] 已测 146000  102s
  [n=10] 已测 148000  103s
  [n=10] 已测 150000  104s
  [n=10] 已测 152000  105s
  [n=10] 已测 154000  106s
  [n=10] 已测 156000  108s
  [n=10] 已测 158000  109s
  [n=10] 已测 160000  111s
  [n=10] 已测 162000  112s
  [n=10] 已测 164000  113s
  [n=10] 已测 166000  114s
  [n=10] 已测 168000  116s
  [n=10] 已测 170000  117s
  [n=10] 已测 172000  119s
  [n=10] 已测 174000  120s
  [n=10] 已测 176000  121s
  [n=10] 已测 178000  122s
  [n=10] 已测 180000  124s
  [n=10] 已测 182000  124s
  [n=10] 已测 184000  126s
  [n=10] 已测 186000  127s
  [n=10] 已测 188000  128s
  [n=10] 已测 190000  129s
  [n=10] 已测 192000  130s
  [n=10] 已测 194000  132s
  [n=10] 已测 196000  133s
  [n=10] 已测 198000  134s
  [n=10] 已测 200000  136s
  [n=10] 已测 202000  137s
  [n=10] 已测 204000  138s
  [n=10] 已测 206000  139s
  [n=10] 已测 208000  140s
  [n=10] 已测 210000  141s
  [n=10] 已测 212000  142s
  [n=10] 已测 214000  143s
  [n=10] 已测 216000  144s
  [n=10] 已测 218000  145s
  [n=10] 已测 220000  147s
  [n=10] 已测 222000  148s
  [n=10] 已测 224000  148s
  [n=10] 已测 226000  150s
  [n=10] 已测 228000  150s
  [n=10] 已测 230000  151s
  [n=10] 已测 232000  153s
  [n=10] 已测 234000  154s
  [n=10] 已测 236000  155s
  [n=10] 已测 238000  156s
  [n=10] 已测 240000  157s
  [n=10] 已测 242000  158s
  [n=10] 已测 244000  159s
  [n=10] 已测 246000  160s
  [n=10] 已测 248000  161s
  [n=10] 已测 250000  163s
  [n=10] 已测 252000  164s
  [n=10] 已测 254000  165s
  [n=10] 已测 256000  166s
  [n=10] 已测 258000  167s
  [n=10] 已测 260000  168s
  [n=10] 已测 262000  169s
  [n=10] 已测 264000  170s
  [n=10] 已测 266000  171s
  [n=10] 已测 268000  172s
  [n=10] 已测 270000  173s
  [n=10] 已测 272000  175s
  [n=10] 已测 274000  176s
  [n=10] 已测 276000  177s
  [n=10] 已测 278000  178s
  [n=10] 已测 280000  180s
  [n=10] 已测 282000  181s
  [n=10] 已测 284000  182s
  [n=10] 已测 286000  183s
  [n=10] 已测 288000  184s
  [n=10] 已测 290000  186s
  [n=10] 已测 292000  188s
  [n=10] 已测 294000  189s
  [n=10] 已测 296000  191s
  [n=10] 已测 298000  192s
  [n=10] 已测 300000  193s
  [n=10] 已测 302000  194s
  [n=10] 已测 304000  196s
  [n=10] 已测 306000  197s
  [n=10] 已测 308000  199s
  [n=10] 已测 310000  200s
  [n=10] 已测 312000  201s
  [n=10] 已测 314000  202s
  [n=10] 已测 316000  203s
  [n=10] 已测 318000  205s
  [n=10] 已测 320000  206s
  [n=10] 已测 322000  207s
  [n=10] 已测 324000  208s
  [n=10] 已测 326000  209s
  [n=10] 已测 328000  211s
  [n=10] 已测 330000  212s
  [n=10] 已测 332000  213s
  [n=10] 已测 334000  215s
  [n=10] 已测 336000  217s
  [n=10] 已测 338000  218s
  [n=10] 已测 340000  220s
  [n=10] 已测 342000  221s
  [n=10] 已测 344000  222s
  [n=10] 已测 346000  223s
  [n=10] 已测 348000  224s
  [n=10] 已测 350000  225s
  [n=10] 已测 352000  226s
  [n=10] 已测 354000  227s
  [n=10] 已测 356000  229s
  [n=10] 已测 358000  230s
  [n=10] 已测 360000  231s
  [n=10] 已测 362000  232s
  [n=10] 已测 364000  233s
  [n=10] 已测 366000  234s
  [n=10] 已测 368000  236s
  [n=10] 已测 370000  237s
  [n=10] 已测 372000  238s
  [n=10] 已测 374000  239s
  [n=10] 已测 376000  240s
  [n=10] 已测 378000  241s
  [n=10] 已测 380000  242s
  [n=10] 已测 382000  243s
  [n=10] 已测 384000  245s
  [n=10] 已测 386000  246s
  [n=10] 已测 388000  247s
  [n=10] 已测 390000  248s
  [n=10] 已测 392000  249s
  [n=10] 已测 394000  250s
  [n=10] 已测 396000  251s
  [n=10] 已测 398000  252s
  [n=10] 已测 400000  253s
  [n=10] 已测 402000  254s
  [n=10] 已测 404000  255s
  [n=10] 已测 406000  256s
  [n=10] 已测 408000  257s
  [n=10] 已测 410000  258s
  [n=10] 已测 412000  259s
  [n=10] 已测 414000  261s
  [n=10] 已测 416000  262s
  [n=10] 已测 418000  263s
  [n=10] 已测 420000  264s
  [n=10] 已测 422000  265s
  [n=10] 已测 424000  266s
  [n=10] 已测 426000  267s
  [n=10] 已测 428000  268s
  [n=10] 已测 430000  269s
  [n=10] 已测 432000  270s
  [n=10] 已测 434000  271s
  [n=10] 已测 436000  272s
  [n=10] 已测 438000  274s
  [n=10] 已测 440000  275s
  [n=10] 已测 442000  276s
  [n=10] 已测 444000  277s
  [n=10] 已测 446000  278s
  [n=10] 已测 448000  279s
  [n=10] 已测 450000  280s
  [n=10] 已测 452000  281s
  [n=10] 已测 454000  282s
  [n=10] 已测 456000  283s
  [n=10] 已测 458000  285s
  [n=10] 已测 460000  286s
  [n=10] 已测 462000  287s
  [n=10] 已测 464000  288s
  [n=10] 已测 466000  289s
  [n=10] 已测 468000  290s
  [n=10] 已测 470000  292s
  [n=10] 已测 472000  293s
  [n=10] 已测 474000  294s
  [n=10] 已测 476000  295s
  [n=10] 已测 478000  296s
  [n=10] 已测 480000  297s
  [n=10] 已测 482000  298s
  [n=10] 已测 484000  299s
  [n=10] 已测 486000  300s
  [n=10] 已测 488000  301s
  [n=10] 已测 490000  302s
  [n=10] 已测 492000  303s
  [n=10] 已测 494000  305s
  [n=10] 已测 496000  306s
  [n=10] 已测 498000  307s
  [n=10] 已测 500000  308s
  [n=10] 已测 502000  308s
  [n=10] 已测 504000  309s
  [n=10] 已测 506000  311s
  [n=10] 已测 508000  312s
  [n=10] 已测 510000  313s
  [n=10] 已测 512000  314s
  [n=10] 已测 514000  315s
  [n=10] 已测 516000  317s
  [n=10] 已测 518000  319s
  [n=10] 已测 520000  322s
  [n=10] 已测 522000  324s
  [n=10] 已测 524000  326s
  [n=10] 已测 526000  328s
  [n=10] 已测 528000  330s
  [n=10] 已测 530000  332s
  [n=10] 已测 532000  334s
  [n=10] 已测 534000  336s
  [n=10] 已测 536000  338s
  [n=10] 已测 538000  340s
  [n=10] 已测 540000  342s
  [n=10] 已测 542000  344s
  [n=10] 已测 544000  347s
  [n=10] 已测 546000  348s
  [n=10] 已测 548000  351s
  [n=10] 已测 550000  352s
  [n=10] 已测 552000  354s
  [n=10] 已测 554000  355s
  [n=10] 已测 556000  357s
  [n=10] 已测 558000  359s
  [n=10] 已测 560000  361s
  [n=10] 已测 562000  362s
  [n=10] 已测 564000  363s
  [n=10] 已测 566000  364s
  [n=10] 已测 568000  366s
  [n=10] 已测 570000  367s
  [n=10] 已测 572000  368s
  [n=10] 已测 574000  370s
  [n=10] 已测 576000  371s
  [n=10] 已测 578000  373s
  [n=10] 已测 580000  374s
  [n=10] 已测 582000  375s
  [n=10] 已测 584000  377s
  [n=10] 已测 586000  378s
  [n=10] 已测 588000  379s
  [n=10] 已测 590000  381s
  [n=10] 已测 592000  383s
  [n=10] 已测 594000  384s
  [n=10] 已测 596000  387s
  [n=10] 已测 598000  388s
  [n=10] 已测 600000  390s
  [n=10] 已测 602000  392s
  [n=10] 已测 604000  394s
  [n=10] 已测 606000  396s
  [n=10] 已测 608000  398s
  [n=10] 已测 610000  399s
  [n=10] 已测 612000  401s
  [n=10] 已测 614000  403s
  [n=10] 已测 616000  404s
  [n=10] 已测 618000  405s
  [n=10] 已测 620000  407s
  [n=10] 已测 622000  408s
  [n=10] 已测 624000  409s
  [n=10] 已测 626000  410s
  [n=10] 已测 628000  412s
  [n=10] 已测 630000  413s
  [n=10] 已测 632000  414s
  [n=10] 已测 634000  415s
  [n=10] 已测 636000  417s
  [n=10] 已测 638000  418s
  [n=10] 已测 640000  419s
  [n=10] 已测 642000  421s
  [n=10] 已测 644000  422s
  [n=10] 已测 646000  423s
  [n=10] 已测 648000  424s
  [n=10] 已测 650000  425s
  [n=10] 已测 652000  426s
  [n=10] 已测 654000  428s
  [n=10] 已测 656000  429s
  [n=10] 已测 658000  430s
  [n=10] 已测 660000  431s
  [n=10] 已测 662000  432s
  [n=10] 已测 664000  433s
  [n=10] 已测 666000  434s
  [n=10] 已测 668000  436s
  [n=10] 已测 670000  437s
  [n=10] 已测 672000  439s
  [n=10] 已测 674000  440s
  [n=10] 已测 676000  441s
  [n=10] 已测 678000  442s
  [n=10] 已测 680000  444s
  [n=10] 已测 682000  445s
  [n=10] 已测 684000  447s
  [n=10] 已测 686000  448s
  [n=10] 已测 688000  449s
  [n=10] 已测 690000  451s
  [n=10] 已测 692000  453s
  [n=10] 已测 694000  455s
  [n=10] 已测 696000  456s
  [n=10] 已测 698000  458s
  [n=10] 已测 700000  460s
  [n=10] 已测 702000  461s
  [n=10] 已测 704000  462s
  [n=10] 已测 706000  463s
  [n=10] 已测 708000  464s
  [n=10] 已测 710000  466s
  [n=10] 已测 712000  467s
  [n=10] 已测 714000  468s
  [n=10] 已测 716000  469s
  [n=10] 已测 718000  470s
  [n=10] 已测 720000  471s
  [n=10] 已测 722000  472s
  [n=10] 已测 724000  473s
  [n=10] 已测 726000  474s
  [n=10] 已测 728000  475s
  [n=10] 已测 730000  477s
  [n=10] 已测 732000  478s
  [n=10] 已测 734000  479s
  [n=10] 已测 736000  480s
  [n=10] 已测 738000  482s
  [n=10] 已测 740000  483s
  [n=10] 已测 742000  484s
  [n=10] 已测 744000  485s
  [n=10] 已测 746000  487s
  [n=10] 已测 748000  488s
  [n=10] 已测 750000  489s
  [n=10] 已测 752000  491s
  [n=10] 已测 754000  492s
  [n=10] 已测 756000  494s
  [n=10] 已测 758000  495s
  [n=10] 已测 760000  496s
  [n=10] 已测 762000  498s
  [n=10] 已测 764000  499s
  [n=10] 已测 766000  500s
  [n=10] 已测 768000  501s
  [n=10] 已测 770000  503s
  [n=10] 已测 772000  504s
  [n=10] 已测 774000  506s
  [n=10] 已测 776000  507s
  [n=10] 已测 778000  508s
  [n=10] 已测 780000  510s
  [n=10] 已测 782000  511s
  [n=10] 已测 784000  513s
  [n=10] 已测 786000  514s
  [n=10] 已测 788000  516s
  [n=10] 已测 790000  517s
  [n=10] 已测 792000  519s
  [n=10] 已测 794000  522s
  [n=10] 已测 796000  523s
  [n=10] 已测 798000  525s
  [n=10] 已测 800000  527s
  [n=10] 已测 802000  530s
  [n=10] 已测 804000  533s
  [n=10] 已测 806000  535s
  [n=10] 已测 808000  536s
  [n=10] 已测 810000  538s
  [n=10] 已测 812000  540s
  [n=10] 已测 814000  541s
  [n=10] 已测 816000  543s
  [n=10] 已测 818000  545s
  [n=10] 已测 820000  546s
  [n=10] 已测 822000  548s
  [n=10] 已测 824000  550s
  [n=10] 已测 826000  551s
  [n=10] 已测 828000  553s
  [n=10] 已测 830000  555s
  [n=10] 已测 832000  556s
  [n=10] 已测 834000  558s
  [n=10] 已测 836000  560s
  [n=10] 已测 838000  561s
  [n=10] 已测 840000  563s
  [n=10] 已测 842000  564s
  [n=10] 已测 844000  566s
  [n=10] 已测 846000  567s
  [n=10] 已测 848000  568s
  [n=10] 已测 850000  569s
  [n=10] 已测 852000  571s
  [n=10] 已测 854000  572s
  [n=10] 已测 856000  573s
  [n=10] 已测 858000  575s
  [n=10] 已测 860000  576s
  [n=10] 已测 862000  577s
  [n=10] 已测 864000  578s
  [n=10] 已测 866000  580s
  [n=10] 已测 868000  581s
  [n=10] 已测 870000  584s
  [n=10] 已测 872000  585s
  [n=10] 已测 874000  587s
  [n=10] 已测 876000  589s
  [n=10] 已测 878000  590s
  [n=10] 已测 880000  592s
  [n=10] 已测 882000  593s
  [n=10] 已测 884000  595s
  [n=10] 已测 886000  596s
  [n=10] 已测 888000  598s
  [n=10] 已测 890000  600s
[n=10] 时间到，已测 890100 个；中止（诚实声明非全量）
[n=10] 共测 890100 个标记 6-正则图全过
  补图2-因子型 (6, 9): 代表 exact ce = 3
  补图2-因子型 (15,): 代表 exact ce = 3
